,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,31.03,10.97,25.56,64.68,63.45,66.1,2.81,0.09,0.12,0.09,0.31,0.32,0.29
Expenses,30.66,10.52,25.23,65.41,63.1,65.94,3.17,0.45,0.12,0.09,0.23,0.14,0.19
Operating Profit,0.37,0.45,0.33,-0.73,0.35,0.16,-0.36,-0.36,0.00,0.0,0.08,0.18,0.10
OPM %,1.19,4.1,1.29,-1.13,0.55,0.24,-12.81,-400.0,0.00,0.0,25.81,56.25,34.48
Other Income,0.13,0.16,0.33,1.64,0.54,0.56,1.21,0.53,0.02,0.02,0.01,0.0,0.04
Interest,0.32,0.48,0.47,0.66,0.67,0.47,0.78,0.14,0.00,0.0,0.0,0.09,0.08
Depreciation,0.01,0.02,0.08,0.1,0.08,0.1,0.06,0.02,0.02,0.01,0.08,0.08,0.07
Profit before tax,0.17,0.11,0.11,0.15,0.14,0.15,0.01,0.01,0.00,0.01,0.01,0.01,-0.01
Tax %,47.06,36.36,27.27,26.67,28.57,26.67,0.0,0.0,,0.0,0.0,0.0,
Net Profit,0.08,0.07,0.08,0.1,0.1,0.11,0.01,0.0,0.00,0.0,0.01,0.01,-0.03
EPS in Rs,0.2,0.07,0.08,0.1,0.1,0.11,0.01,0.0,0.00,0.0,0.01,0.01,-0.03
