,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,858.0,642.0,835.0,1055.0,1060.0,609.0,685.0,808.0,923
Expenses,734.0,556.0,741.0,943.0,903.0,505.0,625.0,730.0,820
Operating Profit,124.0,87.0,94.0,113.0,157.0,103.0,60.0,79.0,102
OPM %,14.0,13.0,11.0,11.0,15.0,17.0,9.0,10.0,11
Other Income,28.0,30.0,54.0,10.0,14.0,44.0,59.0,14.0,68
Interest,29.0,25.0,23.0,34.0,33.0,24.0,26.0,29.0,43
Depreciation,14.0,15.0,17.0,19.0,22.0,22.0,20.0,19.0,19
Profit before tax,109.0,77.0,108.0,70.0,117.0,101.0,73.0,45.0,108
Tax %,19.0,16.0,22.0,29.0,37.0,31.0,20.0,34.0,
Net Profit,89.0,65.0,85.0,48.0,73.0,69.0,57.0,29.0,83
EPS in Rs,3.47,2.51,3.29,1.86,2.82,2.67,2.23,1.12,3.21
