,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,74,62,55,30,39,38,39,40,29,37,31,33
Inventory Days,94,79,61,78,73,120,84,79,103,138,106,108
Days Payable,59,52,40,44,60,81,72,72,64,70,45,55
Cash Conversion Cycle,110,90,77,64,52,77,50,47,68,105,91,86
Working Capital Days,157,96,43,59,31,30,57,57,48,80,80,76
ROCE %,2,2,6,14,16,11,2,9,9,15,12,3
