,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,13,18,18,18,19,22,24,25,25,27,27,27,27.0
Reserves,26,-9,28,61,45,53,47,53,61,83,94,102,108.0
Preference Capital,28,27,27,23,17,0,3,0,0,0,0,0,
Borrowings,244,247,185,120,92,70,66,57,37,32,32,97,114.0
Other Liabilities,62,64,66,67,57,59,63,60,50,46,47,68,90.0
Total Liabilities,345,319,296,265,213,203,200,196,173,188,199,293,339.0
Fixed Assets,124,116,110,94,98,107,96,93,85,80,78,75,166.0
CWIP,5,6,3,5,3,0,3,2,0,0,8,72,22.0
Investments,4,8,3,8,7,0,0,0,0,0,1,12,12.0
Other Assets,212,189,181,159,105,95,101,100,87,108,112,135,139.0
Total Assets,345,319,296,265,213,203,200,196,173,188,199,293,339.0
