,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,47.0,44.0,51.0,65.0,88.0,96.0,112.0,115.0,141.0
Expenses,37.0,36.0,41.0,51.0,68.0,73.0,86.0,88.0,108.0
Operating Profit,9.0,8.0,11.0,14.0,20.0,23.0,27.0,26.0,33.0
OPM %,20.0,19.0,21.0,22.0,23.0,24.0,24.0,23.0,23.0
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Interest,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Depreciation,2.0,2.0,3.0,4.0,3.0,4.0,5.0,6.0,5.0
Profit before tax,7.0,5.0,7.0,9.0,16.0,18.0,21.0,20.0,27.0
Tax %,27.0,14.0,21.0,30.0,28.0,27.0,25.0,25.0,25.0
Net Profit,5.0,4.0,5.0,7.0,12.0,13.0,16.0,15.0,20.0
EPS in Rs,5.33,4.46,5.39,6.8,12.22,13.61,16.47,15.48,20.67
