,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,17,0,8,19,30,23
Cash from Investing Activity,-11,-21,-15,-6,-22,-19
Cash from Financing Activity,5,12,9,-8,-1,-2
Net Cash Flow,12,-9,2,5,7,2
