,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,1.22,1.06,30.48,13.39,18.84,25.07,29.49,28.3,12.27,5.54,4.37,3.65,4.25
Expenses,1.03,1.0,30.3,13.28,19.62,25.67,29.56,29.14,13.06,6.97,5.71,4.7,5.55
Operating Profit,0.19,0.06,0.18,0.11,-0.78,-0.6,-0.07,-0.84,-0.79,-1.43,-1.34,-1.05,-1.30
OPM %,15.57,5.66,0.59,0.82,-4.14,-2.39,-0.24,-2.97,-6.44,-25.81,-30.66,-28.77,-30.59
Other Income,0.0,0.15,0.12,0.55,1.02,0.92,0.81,1.06,1.36,0.06,0.88,0.95,0.99
Interest,0.07,0.0,0.14,0.25,0.1,0.14,0.13,0.12,0.04,0.0,0.0,0.0,0.00
Depreciation,0.02,0.02,0.03,0.07,0.07,0.07,0.01,0.01,0.01,0.0,0.0,0.0,0.00
Profit before tax,0.1,0.19,0.13,0.34,0.07,0.11,0.6,0.09,0.52,-1.37,-0.46,-0.1,-0.31
Tax %,50.0,26.32,46.15,26.47,71.43,27.27,25.0,11.11,32.69,0.0,0.0,0.0,
Net Profit,0.05,0.13,0.07,0.25,0.02,0.07,0.46,0.07,0.35,-1.37,-0.46,-0.1,-0.31
EPS in Rs,0.02,0.04,0.02,0.08,0.0,0.01,0.07,0.01,0.05,-0.2,-0.07,-0.01,-0.05
