,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,11.12,12.48,13.09,14.53,17.8,20.04,20.02,9.33,15.88,25.86,27.64
Expenses,8.83,9.95,10.29,11.65,14.54,16.27,16.12,8.11,12.49,21.51,22.98
Operating Profit,2.29,2.53,2.8,2.88,3.26,3.77,3.9,1.22,3.39,4.35,4.66
OPM %,20.59,20.27,21.39,19.82,18.31,18.81,19.48,13.08,21.35,16.82,16.86
Other Income,0.39,0.21,0.37,0.37,0.31,0.54,0.43,0.46,0.2,0.37,0.00
Interest,0.56,0.38,0.51,0.59,0.68,0.73,1.07,0.82,0.77,1.56,2.02
Depreciation,1.71,1.83,2.04,1.89,2.04,2.43,2.51,2.49,2.25,2.16,2.15
Profit before tax,0.41,0.53,0.62,0.77,0.85,1.15,0.75,-1.63,0.57,1.0,0.49
Tax %,36.59,18.87,27.42,32.47,25.88,33.04,50.67,-12.88,49.12,32.0,
Net Profit,0.25,0.43,0.44,0.52,0.63,0.78,0.38,-1.85,0.29,0.68,0.28
EPS in Rs,0.18,0.31,0.31,0.37,0.45,0.56,0.27,-1.32,0.21,0.49,0.20
