,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,13.98,13.98,13.98,13.98,13.98,13.98,13.98,13.98,13.98,13.98,13.98
Reserves,0.34,0.77,1.21,1.73,2.36,3.02,3.42,1.6800000000000002,1.98,2.74,2.96
Preference Capital,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,7.7,
Borrowings,6.49,5.64,5.92,8.29,9.82,6.23,10.89,12.7,12.1,15.44,15.94
Other Liabilities,13.27,13.21,13.0,13.73,13.68,14.72,14.89,14.78,15.23,16.85,18.67
Total Liabilities,34.08,33.6,34.11,37.73,39.84,37.95,43.18,43.14,43.29,49.01,59.25
Fixed Assets,25.55,24.85,24.65,25.04,23.92,26.87,25.45,24.2,21.39,22.33,21.93
CWIP,0.0,0.0,0.54,0.0,0.0,0.02,1.44,2.62,3.55,3.63,3.63
Investments,1.44,0.95,0.95,0.95,1.43,1.58,0.97,0.97,0.97,1.41,8.65
Other Assets,7.09,7.8,7.97,11.74,14.49,9.48,15.32,15.35,17.38,21.64,25.04
Total Assets,34.08,33.6,34.11,37.73,39.84,37.95,43.18,43.14,43.29,49.01,59.25
