,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,32.0,2506.0,2805.0,741.0,77.0,211.0,280.0,243.0,295
Expenses,14.0,2267.0,2577.0,738.0,114.0,72.0,202.0,232.0,240
Operating Profit,19.0,239.0,227.0,3.0,-37.0,139.0,78.0,11.0,55
OPM %,58.0,10.0,8.0,0.0,-49.0,66.0,28.0,5.0,19
Other Income,0.0,460.0,21.0,65.0,36.0,197.0,363.0,723.0,306
Interest,0.0,64.0,52.0,23.0,7.0,5.0,5.0,6.0,6
Depreciation,0.0,36.0,31.0,5.0,28.0,26.0,23.0,22.0,23
Profit before tax,19.0,599.0,165.0,40.0,-36.0,306.0,413.0,706.0,332
Tax %,8.0,-7.0,18.0,-6.0,38.0,18.0,22.0,25.0,
Net Profit,-62.0,652.0,149.0,42.0,-23.0,249.0,320.0,528.0,254
EPS in Rs,-101.16,594.68,162.6,47.51,5.58,230.97,252.62,480.15,226.79
