,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6,6,6,6,6,6,6,6,6
Reserves,266,884,1016,1428,1363,1664,1937,2264,2457
Borrowings,0,873,812,70,92,66,115,365,374
Other Liabilities,6,601,887,509,466,652,872,1342,1435
Total Liabilities,279,2364,2721,2013,1927,2388,2930,3976,4272
Fixed Assets,1,583,604,35,55,72,77,78,82
CWIP,0,58,59,46,46,46,85,540,585
Investments,265,871,884,1718,1725,2129,2545,2957,3156
Other Assets,13,852,1175,215,102,141,224,402,448
Total Assets,279,2364,2721,2013,1927,2388,2930,3976,4272
