,2020-03-01,2021-03-01
Equity Capital,720,766
Reserves,62359,54481
Borrowings,105655,121002
Other Liabilities,153387,166877
Total Liabilities,322121,343126
Fixed Assets,154130,151394
CWIP,8600,8377
Investments,16308,24620
Other Assets,143083,158734
Total Assets,322121,343126
