,2020-03-01,2021-03-01
Sales,261068.0,249795.0
Expenses,243081.0,217505.0
Operating Profit,17987.0,32289.0
OPM %,7.0,13.0
Other Income,102.0,-11117.0
Interest,7243.0,8097.0
Depreciation,21425.0,23549.0
Profit before tax,-10580.0,-10473.0
Tax %,-4.0,-24.0
Net Profit,-11975.0,-13395.0
EPS in Rs,-237.38,-264.53
