,2019-06-01,2020-12-01
Sales,61467.0,75654.0
Expenses,58609.0,63521.0
Operating Profit,2858.0,12133.0
OPM %,5.0,16.0
Other Income,727.0,289.0
Interest,1712.0,2126.0
Depreciation,5112.0,6129.0
Profit before tax,-3238.0,4167.0
Tax %,-6.0,23.0
Net Profit,-3680.0,2941.0
EPS in Rs,-72.73,57.16
