,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,8.31,8.31,8.92,10.71,10.71,10.71,10.71,10.71,10.71
Reserves,32.36,34.09,22.7,15.7,12.2,22.82,20.99,19.63,19.01
Borrowings,68.35,87.21,88.4,99.65,62.46,40.06,40.72,42.32,42.78
Other Liabilities,96.79,77.88,47.17,32.62,5.23,12.42,12.58,12.59,12.89
Total Liabilities,205.81,207.49,167.19,158.68,90.6,86.01,85.0,85.25,85.39
Fixed Assets,22.91,23.31,24.85,24.54,21.42,20.87,20.44,19.99,19.79
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.02,0.02,0.03,3.23,4.24,1.33,0.67,0.06,0.06
Other Assets,182.88,184.16,142.31,130.91,64.94,63.81,63.89,65.2,65.54
Total Assets,205.81,207.49,167.19,158.68,90.6,86.01,85.0,85.25,85.39
