,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,335.95,318.83,291.36,130.43,23.34,1.99,3.56,1.8,6.03
Expenses,322.71,303.12,310.64,139.97,77.52,7.26,5.14,3.76,7.98
Operating Profit,13.24,15.71,-19.28,-9.54,-54.18,-5.27,-1.58,-1.96,-1.95
OPM %,3.94,4.93,-6.62,-7.31,-232.13,-264.82,-44.38,-108.89,-32.34
Other Income,0.35,-0.12,3.99,1.97,-31.14,0.58,0.01,0.73,0.60
Interest,9.43,11.17,2.72,1.1,0.77,0.21,0.03,0.09,0.12
Depreciation,2.12,2.1,0.91,0.89,0.91,0.56,0.52,0.45,0.45
Profit before tax,2.04,2.32,-18.92,-9.56,-87.0,-5.46,-2.12,-1.77,-1.92
Tax %,36.76,25.0,-2.59,58.79,25.72,9.34,16.51,23.16,
Net Profit,1.28,1.74,-19.4,-3.94,-64.63,-4.95,-1.77,-1.36,-1.50
EPS in Rs,1.28,1.74,-18.13,-3.68,-60.37,-4.62,-1.65,-1.27,-1.40
