,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-368,-383,-275,-822,-1245
Cash from Investing Activity,146,-1863,375,652,206
Cash from Financing Activity,395,2291,-187,183,1071
Net Cash Flow,173,45,-87,13,32
