,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,160.0,176.0,189.0,208.0,230.0,246.0
Expenses,54.0,64.0,63.0,69.0,75.0,83.0
Operating Profit,106.0,112.0,127.0,139.0,154.0,163.0
OPM %,66.0,64.0,67.0,67.0,67.0,66.0
Other Income,0.0,1.0,5.0,1.0,0.0,0.0
Interest,60.0,62.0,76.0,79.0,89.0,89.0
Depreciation,3.0,3.0,3.0,3.0,3.0,3.0
Profit before tax,43.0,48.0,53.0,58.0,63.0,71.0
Tax %,25.0,25.0,25.0,26.0,25.0,26.0
Net Profit,32.0,36.0,39.0,43.0,47.0,53.0
EPS in Rs,0.36,0.4,0.44,0.48,0.51,0.49
