,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.05,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Reserves,-0.04,75.08,84.25,303.91,198.4,327.78,613.72,441.15,538.32
Preference Capital,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,
Borrowings,0.0,10.0,4.75,2.45,2.58,2.47,2.63,0.0,0.0
Other Liabilities,0.0,6.25,6.3,6.07,6.2,5.94,14.36,6.14,7.72
Total Liabilities,0.01,101.33,105.3,322.43,217.18,346.19,640.71,457.29,556.04
Fixed Assets,0.0,11.47,11.34,11.11,11.71,12.0,12.07,12.28,13.73
CWIP,0.0,0.76,0.5,0.81,0.67,0.68,1.32,2.27,0.76
Investments,0.0,35.73,35.73,247.75,135.47,256.49,554.19,383.4,474.57
Other Assets,0.01,53.37,57.73,62.76,69.33,77.02,73.13,59.34,66.98
Total Assets,0.01,101.33,105.3,322.43,217.18,346.19,640.71,457.29,556.04
