,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,28.7,33.47,32.09,31.87,34.81,34.41,41.93,32.96
Expenses,0.04,20.8,20.37,22.43,22.47,22.84,26.0,29.74,28.08
Operating Profit,-0.04,7.9,13.1,9.66,9.4,11.97,8.41,12.19,4.88
OPM %,,27.53,39.14,30.1,29.49,34.39,24.44,29.07,14.81
Other Income,0.00,0.11,0.19,0.32,0.12,0.51,1.61,1.38,1.69
Interest,0.00,0.18,0.82,0.51,0.16,0.08,0.2,0.17,0.01
Depreciation,0.00,1.23,1.25,0.73,0.65,0.7,0.74,0.73,0.77
Profit before tax,-0.04,6.6,11.22,8.74,8.71,11.7,9.08,12.67,5.79
Tax %,0.00,11.36,17.74,13.96,18.03,16.32,11.89,23.05,
Net Profit,-0.04,5.85,9.23,7.52,7.14,9.79,7.99,9.75,4.04
EPS in Rs,,5.85,9.23,7.52,7.14,9.79,7.99,9.75,4.04
