,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,67.22,67.22,67.22,67.22,67.22,67.22,67.22,67.22
DIIs,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08
Public,32.69,32.69,32.69,32.69,32.69,32.69,32.7,32.69
No. of Shareholders,2817.0,2831.0,2943.0,3018.0,2966.0,3181.0,2998.0,3005.0
