,2016-03-01,2017-03-01,2017-09-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,73.46,74.12,74.82,74.55,74.57,74.57,74.99,74.99,74.99
Public,26.53,25.88,25.19,25.46,25.44,25.43,25.01,25.01,25.01
No. of Shareholders,120.0,95.0,99.0,94.0,87.0,96.0,135.0,159.0,225.0
