,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,27.0,23.0,20.0,36.0,33.0,38.0,45.0,44.0,49.0
Expenses,15.0,16.0,13.0,20.0,18.0,19.0,21.0,24.0,25.0
Operating Profit,12.0,8.0,6.0,17.0,15.0,19.0,24.0,20.0,24.0
OPM %,46.0,34.0,32.0,46.0,46.0,49.0,53.0,45.0,49.0
Other Income,1.0,1.0,3.0,7.0,9.0,5.0,3.0,13.0,17.0
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0
Profit before tax,12.0,7.0,7.0,22.0,23.0,21.0,25.0,31.0,39.0
Tax %,29.0,15.0,18.0,18.0,18.0,22.0,24.0,21.0,21.0
Net Profit,8.0,6.0,6.0,18.0,19.0,17.0,19.0,25.0,31.0
EPS in Rs,7.81,5.49,5.68,16.65,17.43,15.61,18.05,23.3,28.93
