,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,18,36,23,25
Cash from Investing Activity,-2,-60,-23,9
Cash from Financing Activity,-16,32,-6,-27
Net Cash Flow,0,7,-5,6
