,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2022-03-01,2023-03-01
Sales,43.0,33.0,26.0,8.0,7.0,13.0,5197.0,6297.0
Expenses,40.0,36.0,29.0,10.0,9.0,16.0,4908.0,5519.0
Operating Profit,3.0,-3.0,-4.0,-2.0,-2.0,-3.0,290.0,778.0
OPM %,6.0,-9.0,-14.0,-29.0,-25.0,-23.0,6.0,12.0
Other Income,0.0,1.0,0.0,0.0,1.0,1.0,873.0,283.0
Interest,2.0,2.0,3.0,2.0,2.0,2.0,426.0,726.0
Depreciation,0.0,1.0,1.0,1.0,1.0,1.0,80.0,106.0
Profit before tax,0.0,-4.0,-7.0,-6.0,-4.0,-5.0,657.0,230.0
Tax %,83.0,17.0,41.0,32.0,-50.0,21.0,33.0,114.0
Net Profit,0.0,-4.0,-4.0,-4.0,-6.0,-4.0,440.0,-33.0
EPS in Rs,0.07,-4.71,-4.35,-3.85,-6.03,-4.0,437.3,-39.6
