,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6,6,6,6,6,6,6,6,6,6,6
Reserves,80,84,107,116,121,133,139,150,169,177,184
Borrowings,9,12,25,23,20,17,21,20,33,34,37
Other Liabilities,11,6,23,25,25,31,37,38,43,46,48
Total Liabilities,107,109,161,170,172,188,203,214,252,263,275
Fixed Assets,4,3,29,28,55,60,52,41,54,70,67
CWIP,0,0,0,24,1,1,6,16,0,0,0
Investments,93,99,106,96,101,105,126,140,161,151,167
Other Assets,10,7,27,23,15,22,19,18,37,42,40
Total Assets,107,109,161,170,172,188,203,214,252,263,275
