,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,140.73,209.79,177.08,201.57,152.02,168.21,140.4,133.41
Expenses,130.89,199.9,167.9,190.65,142.39,156.39,132.46,123.11
Operating Profit,9.84,9.89,9.18,10.92,9.63,11.82,7.94,10.3
OPM %,6.99,4.71,5.18,5.42,6.33,7.03,5.66,7.72
Other Income,0.04,0.16,0.01,0.02,0.14,0.18,0.19,0.07
Interest,2.62,2.61,2.5,4.28,3.56,3.98,3.44,3.97
Depreciation,2.32,2.37,2.85,2.88,2.89,2.85,2.57,3.02
Profit before tax,4.94,5.07,3.84,3.78,3.32,5.17,2.12,3.38
Tax %,35.02,34.52,25.26,26.98,25.3,6.58,-13.68,20.41
Net Profit,3.21,3.31,2.87,2.76,2.49,4.83,2.41,2.69
EPS in Rs,2.19,2.25,1.95,1.88,1.7,2.68,1.34,1.49
