,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,2,21,12,5,17,5,1,3,25,6,3,1
Cash from Investing Activity,-8,-2,1,-3,-1,-4,-4,-5,-4,-10,-14,-1
Cash from Financing Activity,7,-21,-13,-1,-14,-1,2,2,-13,-4,11,2
Net Cash Flow,1,-2,0,1,1,0,-1,0,8,-8,0,1
