,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,113,121,36,133
Cash from Investing Activity,-51,-20,-52,-308
Cash from Financing Activity,-38,-92,4,216
Net Cash Flow,24,9,-12,41
