,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,886.0,874.0,1321.0,1364.0,1332
Expenses,799.0,752.0,1152.0,1174.0,1163
Operating Profit,86.0,122.0,169.0,190.0,169
OPM %,10.0,14.0,13.0,14.0,13
Other Income,13.0,3.0,17.0,29.0,30
Interest,33.0,30.0,25.0,16.0,10
Depreciation,35.0,34.0,35.0,36.0,38
Profit before tax,32.0,61.0,127.0,167.0,151
Tax %,31.0,25.0,27.0,26.0,
Net Profit,22.0,45.0,92.0,123.0,109
EPS in Rs,4.38,9.09,11.9,13.54,12.01
