,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,138,138,138,138,138,138,138,138,138,138
Reserves,1872,1386,1526,1729,2068,3180,4340,5492,6890,6948
Borrowings,3226,2357,2359,2328,2213,2055,983,629,152,155
Other Liabilities,1679,2189,2353,2467,2739,2553,3079,3329,3747,4076
Total Liabilities,6915,6069,6375,6662,7158,7925,8539,9587,10927,11316
Fixed Assets,4487,4673,4903,5094,5290,5585,6040,6631,7338,7491
CWIP,357,468,506,478,489,569,731,992,983,1000
Investments,1118,144,92,41,42,43,48,52,63,162
Other Assets,953,784,875,1049,1337,1728,1719,1912,2544,2663
Total Assets,6915,6069,6375,6662,7158,7925,8539,9587,10927,11316
