,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,39.99,39.99,42.7,47.38,40.04,42.63,42.93,42.93
Government,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
Public,60.01,60.01,57.25,52.62,59.96,57.37,57.07,57.07
No. of Shareholders,2798.0,2767.0,505.0,176.0,208.0,468.0,1700.0,2282.0
