,2015-12-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Promoters,28.59,32.57,32.57,32.57,32.57,32.57,32.58,37.55,37.55
DIIs,2.14,2.14,2.14,2.14,2.14,2.14,2.14,0.75,0.63
Government,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.0,0.0
Public,69.14,65.16,65.16,65.16,65.17,65.17,65.16,61.69,61.82
No. of Shareholders,12014.0,12011.0,12008.0,11969.0,11960.0,11961.0,11960.0,12761.0,12751.0
