,2023-03-01,2023-09-01
Equity Capital,6.34,10.57
Reserves,,18.46
Borrowings,,49.23
Other Liabilities,,35.06
Total Liabilities,,115.32
Fixed Assets,,19.26
CWIP,,0.0
Investments,,0.13
Other Assets,,95.93
Total Assets,,115.32
