,2018-03-01,2018-12-01,2019-03-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,4.6,7.66,-3.47,0.05,0.01,0.00,0.00,0.00,0.00,0.00
Expenses,5.67,4.84,5.11,0.2,0.18,-0.02,-0.01,0.98,0.35,0.26
Operating Profit,-1.07,2.82,-8.58,-0.15,-0.17,0.02,0.01,-0.98,-0.35,-0.26
OPM %,-23.26,36.81,,-300.0,-1700.0,,,,,
Other Income,1.0,0.31,0.51,0.02,0.01,0.01,0.01,0.01,0.01,0.17
Interest,0.01,0.12,0.00,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Depreciation,0.04,0.04,0.04,0.01,0.01,0.01,0.01,0.01,0.00,0.00
Profit before tax,-0.12,2.97,-8.11,-0.14,-0.17,0.02,0.01,-0.98,-0.34,-0.09
Tax %,-25.0,0.0,0.49,0.0,0.0,0.00,0.00,-1.02,0.00,-22.22
Net Profit,-0.16,2.98,-8.07,-0.15,-0.17,0.02,0.01,-0.99,-0.35,-0.11
EPS in Rs,-0.01,0.16,-0.42,-0.01,-0.01,0.00,0.00,-0.05,-0.02,-0.01
