,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,25.0,40,31,31,30,42,23,22,30,27
Inventory Days,70.0,82,63,60,62,100,84,107,119,192
Days Payable,25.0,15,24,37,34,29,12,4,6,9
Cash Conversion Cycle,69.0,107,70,54,59,112,95,125,142,210
Working Capital Days,62.0,96,65,57,58,94,84,117,122,164
ROCE %,,27,17,24,32,35,21,11,7,5
