,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Equity Capital,19,24,24,24,24,24,24,24,24,24,24,24
Reserves,1791,1961,1652,465,135,-302,-2660,-2769,-2926,-2928,-2971,-3052
Borrowings,949,1128,1984,2514,2508,2472,2478,145,2571,2556,2584,2641
Other Liabilities,385,478,331,400,420,598,592,2961,609,605,611,627
Total Liabilities,3145,3592,3991,3403,3086,2792,434,361,278,258,247,241
Fixed Assets,140,133,106,84,52,38,24,12,6,6,5,5
CWIP,0,4,9,4,2,2,2,0,0,0,0,0
Investments,1622,1684,1694,1694,1719,1511,92,86,81,81,81,81
Other Assets,1382,1771,2183,1622,1314,1240,317,263,190,171,161,154
Total Assets,3145,3592,3991,3403,3086,2792,434,361,278,258,247,241
