,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,1,1,21,21,21
Reserves,82,111,157,217,329,381
Borrowings,30,17,13,13,17,20
Other Liabilities,80,66,115,148,152,188
Total Liabilities,193,196,285,399,519,610
Fixed Assets,24,27,26,174,164,160
CWIP,0,0,0,0,0,0
Investments,7,6,21,39,143,214
Other Assets,162,162,238,185,212,236
Total Assets,193,196,285,399,519,610
