,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,77.34,90.05,110.68,126.97,141.04,147.41,59.28,0.00,1.19,16.49,2.51,13.75,40.26
Expenses,70.06,82.61,104.33,119.89,128.34,131.47,83.85,1.93,1.47,13.5,2.77,13.67,40.28
Operating Profit,7.28,7.44,6.35,7.08,12.7,15.94,-24.57,-1.93,-0.28,2.99,-0.26,0.08,-0.02
OPM %,9.41,8.26,5.74,5.58,9.0,10.81,-41.45,,-23.53,18.13,-10.36,0.58,-0.05
Other Income,-0.01,0.04,0.03,-0.22,-0.05,0.01,-5.22,-18.94,33.14,0.05,2.04,0.05,0.03
Interest,2.09,1.57,2.2,2.74,4.64,7.23,8.43,2.61,0.0,0.0,0.0,0.00,0.00
Depreciation,4.66,4.84,2.85,2.72,6.27,7.63,10.52,1.63,0.41,0.0,0.0,0.13,0.53
Profit before tax,0.52,1.07,1.33,1.4,1.74,1.09,-48.74,-25.11,32.45,3.04,1.78,0.00,-0.52
Tax %,-1.92,79.44,49.62,48.57,52.87,120.18,0.0,0.00,0.0,-1.97,0.0,,
Net Profit,0.54,0.23,0.68,0.71,0.82,-0.22,-48.73,-25.11,32.46,3.1,1.78,0.00,-0.52
EPS in Rs,0.01,0.01,0.02,0.02,0.02,-0.01,-1.35,-0.70,0.9,0.09,0.05,0.00,-0.01
