,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,46.18,45.07,61.79,61.79,71.72,58.82,56.57,47.39
Expenses,53.2,35.28,44.23,44.05,55.56,53.76,33.96,34.42
Operating Profit,-7.02,9.79,17.56,17.74,16.16,5.06,22.61,12.97
OPM %,-15.2,21.72,28.42,28.71,22.53,8.6,39.97,27.37
Other Income,-0.54,15.44,1.37,-0.68,20.09,18.02,0.31,13.2
Interest,10.19,15.46,17.99,14.04,20.81,12.51,4.7,6.57
Depreciation,16.18,10.76,16.52,14.84,16.12,16.64,13.18,13.33
Profit before tax,-33.93,-0.99,-15.58,-11.82,-0.68,-6.07,5.04,6.27
Tax %,5.19,-97.98,25.67,30.54,791.18,73.48,47.02,8.13
Net Profit,-32.17,-1.96,-11.58,-8.21,4.7,-1.61,2.67,5.76
EPS in Rs,-1.37,-0.08,-0.49,-0.35,0.16,-0.02,0.08,0.2
