,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,65,-41,362,49,141,-26
Cash from Investing Activity,-168,-170,-306,-105,-153,-5
Cash from Financing Activity,82,195,-52,174,-63,-10
Net Cash Flow,-21,-17,3,117,-76,-42
