,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,368.0,164.0,165.0,172.0,172.0,254.0,234
Expenses,352.0,82.0,77.0,109.0,90.0,197.0,178
Operating Profit,15.0,82.0,88.0,63.0,82.0,57.0,57
OPM %,4.0,50.0,53.0,37.0,48.0,23.0,24
Other Income,-14.0,-68.0,-47.0,-112.0,-70.0,40.0,52
Interest,65.0,30.0,53.0,61.0,55.0,71.0,45
Depreciation,17.0,27.0,40.0,49.0,50.0,65.0,59
Profit before tax,-80.0,-43.0,-51.0,-158.0,-93.0,-39.0,5
Tax %,29.0,-23.0,-2.0,3.0,-0.0,48.0,
Net Profit,-57.0,-53.0,-52.0,-154.0,-93.0,-20.0,12
EPS in Rs,-11328.0,-9.13,-4.52,-11.94,-3.97,-0.66,0.42
