,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,3,7,9,9,9,11,11,11,11,15,15,15
Reserves,13,15,28,32,42,61,60,79,78,147,183,196
Borrowings,35,43,57,98,118,118,122,97,87,63,57,36
Other Liabilities,24,35,29,41,24,41,61,63,80,73,58,59
Total Liabilities,75,99,123,180,194,230,253,250,256,299,313,307
Fixed Assets,22,24,26,29,28,28,28,26,23,45,40,43
CWIP,0,0,0,0,0,0,0,0,0,0,0,0
Investments,3,3,0,0,6,0,0,0,0,19,26,38
Other Assets,50,71,96,151,159,202,225,224,233,235,246,226
Total Assets,75,99,123,180,194,230,253,250,256,299,313,307
