,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,160.0,121,117,160,235,300,233,205,247,153,154
Inventory Days,152.0,538,318,606,75,169,18,191,67,16,53
Days Payable,201.0,194,118,218,129,617,1610,1230,1367,752,403
Cash Conversion Cycle,111.0,465,318,548,181,-149,-1359,-834,-1053,-584,-196
Working Capital Days,141.0,141,159,274,301,363,267,245,259,231,199
ROCE %,,28,23,18,13,11,12,25,9,12,16
