,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,22.0,43,27,34,49,30
Inventory Days,830.0,238,999,,,
Days Payable,1035.0,398,1689,,,
Cash Conversion Cycle,-183.0,-116,-663,34,49,30
Working Capital Days,-70.0,9,-34,31,52,50
ROCE %,,3,13,24,39,46
