,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,250.0,307.0,373.0,400.0,293.0,365.0,382.0,343.0,290.0
Expenses,146.0,190.0,212.0,239.0,175.0,205.0,188.0,208.0,195.0
Operating Profit,104.0,117.0,160.0,161.0,119.0,160.0,194.0,135.0,96.0
OPM %,42.0,38.0,43.0,40.0,40.0,44.0,51.0,39.0,33.0
Other Income,8.0,6.0,4.0,9.0,19.0,8.0,9.0,11.0,12.0
Interest,42.0,41.0,39.0,39.0,35.0,19.0,3.0,3.0,2.0
Depreciation,17.0,17.0,17.0,18.0,17.0,17.0,17.0,17.0,17.0
Profit before tax,53.0,66.0,107.0,113.0,86.0,131.0,182.0,125.0,88.0
Tax %,26.0,26.0,24.0,25.0,26.0,25.0,25.0,25.0,24.0
Net Profit,39.0,49.0,82.0,85.0,64.0,98.0,137.0,94.0,66.0
EPS in Rs,20.44,5.09,8.5,8.79,6.63,7.99,11.12,7.65,5.39
