,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,25215,26115,26115,26115.0
Reserves,-1028,-5122,-6849,-9129,-11164.0
Preference Capital,0,13,14,15,
Borrowings,26934,18172,21979,29629,30951.0
Other Liabilities,18189,3181,4413,4716,5348.0
Total Liabilities,44096,41446,45658,51331,51250.0
Fixed Assets,38738,38031,42019,42106,46555.0
CWIP,0,2,54,49,66.0
Investments,0,0,137,0,0.0
Other Assets,5358,3413,3449,9175,4629.0
Total Assets,44096,41446,45658,51331,51250.0
