,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Reserves,-0.17,0.4,1.04,1.75,2.47,3.16,3.3,3.85
Borrowings,13.99,14.69,18.36,19.85,19.89,22.78,24.1,28.0
Other Liabilities,16.02,12.98,12.79,14.2,21.2,14.01,18.9,18.17
Total Liabilities,35.84,34.07,38.19,41.8,49.56,45.95,52.3,56.02
Fixed Assets,2.67,2.92,4.1,4.49,5.46,6.05,5.79,5.67
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,1.94,1.92
Other Assets,33.17,31.15,34.09,37.31,44.1,39.9,44.57,48.43
Total Assets,35.84,34.07,38.19,41.8,49.56,45.95,52.3,56.02
