,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,0,0,136,136.0
Reserves,30,-437,-1765,712,491,562.0
Preference Capital,0,593,1954,0,0,
Borrowings,0,0,20,0,4,95.0
Other Liabilities,4,618,2048,240,299,294.0
Total Liabilities,34,181,303,952,929,1088.0
Fixed Assets,0,1,21,98,126,308.0
CWIP,0,0,0,2,0,0.0
Investments,26,124,164,532,392,269.0
Other Assets,8,56,118,321,411,511.0
Total Assets,34,181,303,952,929,1088.0
