,2022-09-01,2023-06-01,2023-09-01
Sales,387.0,426.0,460.0
Expenses,356.0,395.0,415.0
Operating Profit,30.0,31.0,46.0
OPM %,8.0,7.0,10.0
Other Income,5.0,11.0,8.0
Interest,2.0,1.0,1.0
Depreciation,4.0,5.0,5.0
Profit before tax,30.0,37.0,48.0
Tax %,26.0,25.0,21.0
Net Profit,22.0,28.0,38.0
EPS in Rs,1.62,2.03,2.77
