,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,15.51,12.59,6.38,3.1,0.09,0.09,0.05,0.00,0.00,12.32
Expenses,15.54,12.38,7.52,3.4,0.41,0.41,0.39,0.28,30.01,12.02
Operating Profit,-0.03,0.21,-1.14,-0.3,-0.32,-0.32,-0.34,-0.28,-30.01,0.3
OPM %,-0.19,1.67,-17.87,-9.68,-355.56,-355.56,-680.0,,,2.44
Other Income,-0.01,0.0,0.02,0.0,0.02,0.02,0.03,0.03,30.64,0.01
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,1.27,0.0
Depreciation,0.41,0.33,0.33,0.0,0.0,0.0,0.66,0.00,0.33,0.13
Profit before tax,-0.45,-0.12,-1.45,-0.3,-0.3,-0.3,-0.97,-0.25,-0.97,0.18
Tax %,33.33,-83.33,0.0,0.0,0.0,0.0,0.0,0.00,11.34,0.0
Net Profit,-0.31,-0.22,-1.45,-0.3,-0.3,-0.3,-0.97,-0.25,-0.86,0.18
EPS in Rs,-0.17,-0.12,-0.78,-0.16,-0.16,-0.16,-0.52,-0.14,-0.46,0.1
