,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5.0,6.88,6.88,6.88,6.88,6.88,6.88,10.32,18.58
Reserves,0.13,0.5700000000000001,0.98,1.86,3.13,4.41,7.02,9.05,6.77
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,0.33,0.53,0.66,1.36,1.11,1.52,3.33,6.17,8.26
Total Liabilities,5.46,7.98,8.52,10.1,11.12,12.81,17.23,25.54,33.61
Fixed Assets,0.24,0.19,0.36,0.28,0.64,0.38,0.81,1.77,1.55
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,4.06,4.86,5.22,2.8,5.58,7.71,9.38,5.66,12.82
Other Assets,1.16,2.93,2.94,7.02,4.9,4.72,7.04,18.11,19.24
Total Assets,5.46,7.98,8.52,10.1,11.12,12.81,17.23,25.54,33.61
