,2022-03-01,2022-06-01,2022-09-01,2023-03-01,2023-06-01,2023-09-01
Sales,6.02,6.42,6.54,10.41,13.14,14.81
Expenses,5.04,4.89,5.16,9.12,9.51,10.53
Operating Profit,0.98,1.53,1.38,1.29,3.63,4.28
OPM %,16.28,23.83,21.1,12.39,27.63,28.9
Other Income,0.18,0.18,0.33,1.32,0.18,0.37
Interest,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.08,0.09,0.09,0.23,0.23,0.25
Profit before tax,1.08,1.62,1.62,2.38,3.58,4.4
Tax %,20.37,24.69,25.93,19.33,24.86,25.45
Net Profit,0.85,1.22,1.2,1.92,2.69,3.29
EPS in Rs,0.46,0.66,0.65,1.03,1.45,1.77
