,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,114,114,114,118,118,118,120,120,120,134,138,154
Reserves,110,129,126,119,74,-33,-141,-133,43,-6,-8,68
Borrowings,283,299,234,259,255,320,358,373,177,165,117,139
Other Liabilities,225,168,250,316,253,236,228,141,60,160,209,109
Total Liabilities,732,711,724,812,700,641,564,501,400,453,455,471
Fixed Assets,152,194,191,196,93,239,176,178,174,190,187,253
CWIP,2,7,8,0,57,4,1,1,1,3,31,8
Investments,121,121,121,121,121,59,25,0,0,0,0,1
Other Assets,457,390,404,495,429,339,362,323,225,260,237,210
Total Assets,732,711,724,812,700,641,564,501,400,453,455,471
