,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,-29,45,91,-47,60,55,16,-29,53,19,122
Cash from Investing Activity,-98,-38,-1,9,32,-116,-70,57,1,-23,-30
Cash from Financing Activity,-4,5,-88,16,-75,55,66,-27,-58,-13,-85
Net Cash Flow,-131,12,1,-22,17,-7,12,2,-4,-17,7
