,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4.92,4.92,5.9,5.9
Reserves,49.21,54.66,63.3,59.84
Borrowings,20.51,23.0,16.7,15.08
Other Liabilities,61.55,61.75,66.39,72.88
Total Liabilities,136.19,144.33,152.29,153.7
Fixed Assets,71.39,68.3,84.52,83.36
CWIP,0.16,9.38,0.49,1.81
Investments,1.97,0.22,0.08,0.09
Other Assets,62.67,66.43,67.2,68.44
Total Assets,136.19,144.33,152.29,153.7
