,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,14.88,30.96,36.29,33.57,29.47,27.29,25.45,26.5,19.88,29.45,25.01,25.06
Expenses,14.4,26.33,30.53,27.66,24.93,25.25,25.44,24.87,20.06,27.66,25.23,24.86
Operating Profit,0.48,4.63,5.76,5.91,4.54,2.04,0.01,1.63,-0.18,1.79,-0.22,0.2
OPM %,3.23,14.95,15.87,17.61,15.41,7.48,0.04,6.15,-0.91,6.08,-0.88,0.8
Other Income,0.31,0.34,0.59,0.61,1.37,0.62,1.01,0.88,0.27,0.12,0.33,0.41
Interest,0.41,0.58,0.43,0.5,0.39,0.41,0.39,1.07,0.42,0.25,0.41,0.49
Depreciation,1.16,1.43,1.0,1.03,1.01,0.99,0.89,1.03,1.19,1.13,1.11,1.13
Profit before tax,-0.78,2.96,4.92,4.99,4.51,1.26,-0.26,0.41,-1.52,0.53,-1.41,-1.01
Tax %,-42.31,49.66,24.19,28.46,22.84,26.98,-219.23,82.93,-17.11,33.96,-18.44,-10.89
Net Profit,-1.1,1.49,3.73,3.57,3.49,0.93,-0.83,0.07,-1.78,0.35,-1.66,-1.13
EPS in Rs,-2.56,0.37,3.08,2.95,3.44,-1.03,-2.75,-1.08,-3.75,-0.47,-3.56,-2.27
