,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,68.57,126.87,101.19,99.40
Expenses,60.45,107.97,97.87,97.81
Operating Profit,8.12,18.9,3.32,1.59
OPM %,11.84,14.9,3.28,1.60
Other Income,0.96,2.55,2.28,1.13
Interest,1.76,1.74,2.2,1.57
Depreciation,4.61,4.02,4.24,4.56
Profit before tax,2.71,15.69,-0.84,-3.41
Tax %,50.18,25.3,-160.71,
Net Profit,1.35,11.72,-2.19,-4.22
EPS in Rs,-0.56,8.44,-8.05,-10.05
