,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5.1,6.1,6.1,6.1,6.1,6.1
Reserves,-18.26,-18.2,-21.51,-21.82,-22.11,-22.26
Preference Capital,2.45,2.69,2.96,1.66,1.82,
Borrowings,12.36,12.42,12.51,14.12,14.24,16.23
Other Liabilities,3.1,2.72,3.0,1.69,1.86,0.02
Total Liabilities,2.3,3.04,0.1,0.09,0.09,0.09
Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0
Investments,2.13,2.74,0.0,0.0,0.0,0.0
Other Assets,0.17,0.3,0.1,0.09,0.09,0.09
Total Assets,2.3,3.04,0.1,0.09,0.09,0.09
