,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,14.97,14.9,16.43,17.15,18.4,19.11,20.25,20.34,19.82,21.49
Expenses,15.59,16.79,15.67,17.32,18.22,18.21,19.46,19.64,19.81,19.45
Operating Profit,-0.62,-1.89,0.76,-0.17,0.18,0.9,0.79,0.7,0.01,2.04
OPM %,-4.14,-12.68,4.63,-0.99,0.98,4.71,3.9,3.44,0.05,9.49
Other Income,-0.06,-2.88,0.33,-0.18,0.68,0.68,5.48,0.73,0.95,0.99
Interest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.04,0.06,0.02,0.03,0.02,0.04,0.06,0.07,0.04,0.04
Profit before tax,-0.72,-4.83,1.07,-0.38,0.84,1.54,6.21,1.36,0.92,2.99
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1701.47,25.0,27.42
Net Profit,-0.72,-4.83,1.07,-0.37,0.84,1.54,6.21,24.5,0.69,2.17
EPS in Rs,-6.5,-0.49,0.11,-0.04,0.08,0.15,0.62,2.44,0.07,0.21
