,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Debtor Days,43.0,42,43.0,47.0,41,46
Inventory Days,,,,,,
Days Payable,,,,,,
Cash Conversion Cycle,43.0,42,43.0,47.0,41,46
Working Capital Days,-51.0,-73,-93.0,31.0,-1,-17
ROCE %,,-66,,,-2,12
