,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM
Sales,20.54,10.57,32.2,51.82,71.42,100.18,103.9,137.34,186.93,85.31,14.87,0.00,0.0
Expenses,20.25,10.33,31.6,50.94,70.12,97.61,101.38,135.69,185.21,83.27,15.14,3.06,3.05
Operating Profit,0.29,0.24,0.6,0.88,1.3,2.57,2.52,1.65,1.72,2.04,-0.27,-3.06,-3.05
OPM %,1.41,2.27,1.86,1.7,1.82,2.57,2.43,1.2,0.92,2.39,-1.82,,
Other Income,0.0,0.0,0.0,0.19,0.06,0.05,0.06,1.28,0.05,0.24,0.3,0.00,0.0
Interest,0.0,0.0,0.01,0.1,0.4,0.67,0.99,1.52,0.74,1.45,0.89,0.04,0.03
Depreciation,0.16,0.15,0.15,0.29,0.43,1.58,1.25,1.01,0.32,0.37,0.26,0.28,0.23
Profit before tax,0.13,0.09,0.44,0.68,0.53,0.37,0.34,0.4,0.71,0.46,-1.12,-3.38,-3.31
Tax %,0.0,0.0,-129.55,83.82,50.94,-56.76,35.29,37.5,42.25,-2.17,-2.68,0.00,
Net Profit,0.13,0.09,1.01,0.11,0.25,0.58,0.21,0.26,0.41,0.47,-1.15,-3.38,-3.31
EPS in Rs,0.07,0.04,0.45,0.05,0.11,0.26,0.09,0.12,0.18,0.21,-0.51,-1.50,-1.47
