,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,152,152,152,152,171,205,205,205,205,205,205.0
Reserves,508,480,365,315,324,1218,1350,1211,1136,1337,1485.0
Preference Capital,0,0,0,0,16,52,111,119,175,186,
Borrowings,1759,2072,2351,2636,2709,1494,1791,1939,2422,2667,2977.0
Other Liabilities,567,538,487,449,448,614,690,664,701,748,537.0
Total Liabilities,2987,3242,3355,3552,3652,3531,4035,4019,4465,4957,5204.0
Fixed Assets,1276,2295,2390,2839,2819,2753,3019,3080,3413,3854,4023.0
CWIP,572,49,32,21,22,34,88,36,32,98,33.0
Investments,12,13,47,0,4,5,5,4,6,7,7.0
Other Assets,1128,885,886,692,807,738,924,899,1013,999,1141.0
Total Assets,2987,3242,3355,3552,3652,3531,4035,4019,4465,4957,5204.0
