,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Cash from Operating Activity,,,79,201,249,366,252,60,62,477
Cash from Investing Activity,,,-172,329,-118,147,-391,-50,-396,-591
Cash from Financing Activity,,,53,-463,-157,-523,133,-34,411,126
Net Cash Flow,,,-40,67,-26,-10,-6,-24,77,12
